directory_name,git_describe,git_current_tag,git_current_commit,github_url
@cspell-dict-aws@4.0.10,@cspell/dict-cspell-bundle@2.0.4,@cspell/dict-cspell-bundle@2.0.4,8fa16dbdc0421ae65170dfc5fa9f465d9d0c66af,https://github.com/streetsidesoftware/cspell-dicts
@webassemblyjs-ieee754@1.11.1,v1.11.1,v1.11.1,3f07e2db2031afe0ce686630418c542938c1674b,https://github.com/xtuc/webassemblyjs
hermes-parser@0.22.0,hermes-2025-05-06-RNv0.80.0-4eb6132a5bf0450bf4c6c91987675381d7ac8bca-19-g0760c58ac,,0760c58acf668f58eb909f7b8efa2b7fc2ff10d1,https://github.com/facebook/hermes
@webassemblyjs-helper-api-error@1.11.1,v1.11.1,v1.11.1,3f07e2db2031afe0ce686630418c542938c1674b,https://github.com/xtuc/webassemblyjs
utf-8-validate@latest,v6.0.5-5-gcd2d3ee,,cd2d3ee5b61544fdc6c921c6376d0049a0fe6d98,https://github.com/websockets/utf-8-validate
turbo-linux-64@1.1.2,v1.1.2,v1.1.2,52906aba7316bfeabf28a5ab9ceccb739b793fb3,https://github.com/vercel/turborepo
@aws-amplify-api@5.4.13,@aws-amplify/adapter-nextjs@1.6.3-2-g936c0f79f,,936c0f79f061a14b239695f3aa2222d4fb9ac028,
@viz-js-viz@3.11.0,release-viz-3.12.0-4-g8353749,,83537497b3e621d76bdcc7836d237cbf8f83a156,
tree-sitter-python@0.21.0,v0.21.0,v0.21.0,0f9047c857ed0990931b1f899c7d3bf403703147,https://github.com/tree-sitter/tree-sitter-python
@cspell-dict-kotlin@1.1.0,@cspell/dict-cspell-bundle@2.0.4,@cspell/dict-cspell-bundle@2.0.4,8fa16dbdc0421ae65170dfc5fa9f465d9d0c66af,https://github.com/streetsidesoftware/cspell-dicts
nan@2.15.0,v2.15.0,v2.15.0,8502c2417b9c1d0ea86c1e0aea6e975d26bf682b,https://github.com/nodejs/nan
web-tree-sitter@0.24.7,v0.24.7,v0.24.7,5e8760bf462ce7b19b3d2396d5b7860f3906a297,https://github.com/tree-sitter/tree-sitter
pid-cwd@1.2.0,v1.2.0,v1.2.0,2343dfd7aa78166cc4f99b784a79a83dba6f416f,https://github.com/NeekSandhu/pid-cwd
es-module-lexer@1.4.1,1.4.1,1.4.1,c357368bd4681011bc938ec54d48b2c6a969672b,https://github.com/guybedford/es-module-lexer
@cspell-dict-monkeyc@1.0.10,@cspell/dict-cspell-bundle@2.0.4,@cspell/dict-cspell-bundle@2.0.4,8fa16dbdc0421ae65170dfc5fa9f465d9d0c66af,https://github.com/streetsidesoftware/cspell-dicts
@cspell-cspell-service-bus@8.19.3,v8.19.3,v8.19.3,cb6946b709da590d0c6175f9962799d18aa43e93,https://github.com/streetsidesoftware/cspell
@aws-amplify-notifications@1.6.14,@aws-amplify/adapter-nextjs@1.6.3-2-g936c0f79f,,936c0f79f061a14b239695f3aa2222d4fb9ac028,
es-module-lexer@0.9.3,0.9.3,0.9.3,dfe27f1c75ef95d79652c9bf5cc3e5527f13d88d,https://github.com/guybedford/es-module-lexer
@azure-msal-common@14.7.0,msal-angular-v4.0.12-13-g2a979a886,,2a979a886ff80b97e35e36fc8cd27eafdf3752ea,https://github.com/AzureAD/microsoft-authentication-library-for-js
node-addon-api@2.0.0,2.0.0,2.0.0,f677794b31876c7b235e69b3a636b59310b2d5c0,https://github.com/nodejs/node-addon-api
@webassemblyjs-wasm-parser@1.14.1,v1.14.1,v1.14.1,25d52b1296e151ac56244a7c3886661e6b4a69ea,https://github.com/xtuc/webassemblyjs
