timestamp,publisher,name,version,status,error,repo_url
2025-05-05T13:12:02.213950,antfu,theme-vitesse,0.8.3,Success,,https://github.com/antfu/vscode-theme-vitesse.git
2025-05-05T13:12:02.281175,dhoeric,ansible-vault,0.1.3,Success,,https://github.com/dhoeric/vscode-ansible-vault.git
2025-05-05T13:12:02.373637,zhucy,project-tree,0.4.0,Success,,https://github.com/GGLuckjiu/project-tree.git
2025-05-05T13:11:59.060116,WolfiesHorizon,python-auto-venv,1.3.2,Success,,https://github.com/WolfieBoyy/python-auto-env.git
2025-05-05T13:12:03.175201,zrachod,mono-snippets,0.0.2,Success,,https://github.com/Zrachod/mono-snippets
2025-05-05T13:12:03.817897,aztechcorps,aio-compiler,2.0.0,Failed,No GitHub URL found in properties,
2025-05-05T13:12:03.152265,Anjali,clipboard-history,1.0.7,Success,,https://github.com/aefernandes/vscode-clipboard-history-extension/
2025-05-05T13:12:03.091112,open-southeners,laravel-pint,1.3.0,Success,,https://github.com/open-southeners/vscode-laravel-pint.git
2025-05-05T13:12:03.652712,nidu,copy-json-path,0.4.0,Success,,https://github.com/nidu/vscode-copy-json-path.git
2025-05-05T13:12:03.847283,raashida,fixthecode-vs,1.1.2,Success,,https://github.com/99xt/Sea-green-theme.git
2025-05-05T13:12:00.900083,nhatvu148,jupiter,1.2.6,Success,,https://github.com/nhatvu148/vscode-jupiter.git
2025-05-05T13:12:03.817932,ria,elastic,0.13.3,Success,,https://github.com/hsen-dev/vscode-elastic.git
2025-05-05T13:12:04.828546,nicolaspolomack,epitech-c-cpp-headers,1.16.0,Success,,https://github.com/Hirevo/epitech-c-cpp-headers.git
2025-05-05T13:12:04.071119,ivangabriele,vscode-git-add-and-commit,2.1.1,Success,,https://github.com/ivangabriele/vscode-git-automator-legacy.git
2025-05-05T13:12:04.984689,koehlma,markdown-math,0.1.0,Success,,https://github.com/koehlma/vscode-markdown-math.git
2025-05-05T13:12:04.399077,manuth,markdown-converter,5.2.1,Success,,https://github.com/manuth/MarkdownConverter.git
2025-05-05T13:12:05.809899,peymanslh,blueberry-dark-theme,1.1.1,Success,,https://github.com/peymanslh/vscode-blueberry-dark-theme.git
2025-05-05T13:12:05.624758,rajeshroyal896,extended-html5-boilerplate,0.0.1,Success,,https://github.com/Rajesh-Royal/extended-html5-boilerplate-vscode.git
2025-05-05T13:12:05.894815,tsandall,opa,0.19.0,Success,,https://github.com/open-policy-agent/vscode-opa.git
2025-05-05T13:12:06.228356,npclaudiu,vscode-gn,1.1.0,Success,,https://github.com/npclaudiu/vscode-gn.git
2025-05-05T13:12:05.263332,Wscats,delete-node-modules,1.0.6,Success,,https://github.com/Wscats/delete-node-modules
2025-05-05T13:12:06.669067,castwide,ruby-debug,0.3.5,Success,,https://github.com/castwide/vscode-ruby-debug
2025-05-05T13:12:07.023028,alanz,vscode-hie-server,0.2.1,Success,,https://github.com/alanz/vscode-hie-server.git
2025-05-05T13:12:07.389202,JacquesLucke,blender-development,0.0.25,Success,,https://github.com/JacquesLucke/blender_vscode.git
2025-05-05T13:12:08.973535,joeandaverde,vscode-elm-jump,0.0.1,Failed,No GitHub URL found in properties,
2025-05-05T13:12:07.008706,thqby,vscode-autohotkey2-lsp,2.6.4,Success,,https://github.com/thqby/vscode-autohotkey2-lsp.git
2025-05-05T13:12:07.255799,Elmtooling,elm-ls-vscode,2.8.0,Success,,https://github.com/elm-tooling/elm-language-client-vscode.git
2025-05-05T13:12:08.685769,devCAT,lua-debug,1.1.1,Success,,https://github.com/devcat-studio/VSCodeLuaDebug.git
2025-05-05T13:12:08.973576,josephtbradley,hive-sql,0.0.4,Success,,https://github.com/JoBrad/hive-sql-vscode.git
2025-05-05T13:12:09.032395,arthurwhite,white,1.3.6,Success,,https://github.com/arthurwhite/white-theme-vscode
2025-05-05T13:12:09.102607,ionic-preview,ionic-preview,0.0.20,Success,,https://github.com/jadsonbr/ionic-preview
2025-05-05T13:12:09.646461,qinjia,vscode-wechat,0.0.6,Success,,https://github.com/hellopao/vscode-wechat.git
2025-05-05T13:12:09.747601,loganarnett,lambda-snippets,2.0.0,Success,,https://github.com/loganarnett/vscode-lambda-snippets.git
2025-05-05T13:12:06.595044,galarius,vscode-opencl,0.8.5,Success,,https://github.com/Galarius/vscode-opencl.git
2025-05-05T13:12:10.073274,mikaelkristiansson87,react-theme-vscode,2.0.0,Success,,https://github.com/mikaelkristiansson/react-theme-vscode.git
2025-05-05T13:12:10.388637,hedinne,popping-and-locking-vscode,2.0.11,Success,,https://github.com/hedinne/popping-and-locking-vscode.git
2025-05-05T13:12:10.756312,HyunKyunMoon,gzipdecompressor,1.3.0,Success,,https://github.com/hyeongyun0916/GZIP_Decompressor.git
2025-05-05T13:12:11.208511,mishkinf,goto-next-previous-member,0.0.10,Success,,https://github.com/mishkinf/vscode-goto-next-previous-member.git
2025-05-05T13:12:11.561363,georgykurian,laravel-ide-helper,1.0.2,Success,,https://github.com/georgyKurian/vscode-laravel-ide-helper.git
2025-05-05T13:12:12.016888,pamaron,pytest-runner,0.0.10,Success,,https://github.com/ernestoarbitrio/pytest-runner.git
2025-05-05T13:12:10.820090,CodeRoad,coderoad,0.17.2,Success,,https://github.com/coderoad/coderoad-vscode.git
2025-05-05T13:12:13.117961,kevinmcgowan,TypeScriptImport,1.17.0,Success,,https://github.com/starkevin/VSCode-TypeScript-Importer
2025-05-05T13:12:10.390303,JonathanHarty,gruvbox-material-icon-theme,1.1.5,Success,,https://github.com/Jonathan-Harty/vscode-material-icon-theme.git
2025-05-05T13:12:13.979003,vikas,code-navigation,0.2.0,Failed,No GitHub URL found in properties,
2025-05-05T13:12:13.979035,Codeium,codeium-enterprise-updater,1.0.18,Failed,No GitHub URL found in properties,
2025-05-05T13:12:09.650179,Shopify,rubocop-lsp,0.1.2,Success,,https://github.com/Shopify/rubocop-lsp
2025-05-05T13:12:13.420209,wiggin77,codedox,1.3.3,Success,,https://github.com/vshaxe/codedox.git
2025-05-05T13:12:13.932223,af4jm,vscode-m3u,1.0.0,Success,,https://github.com/af4jm/vscode-m3u.git
2025-05-05T13:12:14.176581,fosshaas,fontsize-shortcuts,1.5.0,Success,,https://github.com/foss-haas/vsc-fontsize-shortcuts.git
2025-05-05T13:12:14.566958,vector-wlc,qtconfigure,0.2.1,Success,,https://github.com/vector-wlc/VSCodeQtConfigure.git
2025-05-05T13:12:14.928438,jabacchetta,vscode-essentials,1.6.0,Success,,https://github.com/jabacchetta/vscode-essentials
2025-05-05T13:12:15.296543,codeandstuff,package-json-upgrade,3.2.1,Success,,https://github.com/pgsandstrom/package-json-upgrade.git
2025-05-05T13:12:14.302483,deitry,unity-debug,3.0.11,Success,,https://github.com/deitry/vscode-unity-debug.git
